Time(ms),Main(mA),Main Voltage(V),
114.32004880905151,269.55215983213975,4.18375,
114.32028698921204,268.5705423527802,4.1835,
114.32047176361084,266.73000957898097,4.18325,
114.3206558227539,265.87109428454136,4.1842500000000005,
114.32085585594176,272.9878210098983,4.18375,
114.3210608959198,269.1840532773799,4.18375,
114.3212869167328,258.01815444966473,4.18475,
114.32145690917967,253.2327692377868,4.1835,
114.32163786888124,282.55859143365416,4.18175,
114.32185292243958,299.123386397847,4.1835,
114.32204914093018,293.6017880764494,4.1845,
114.32230687141418,297.7736623637276,4.1815,
114.32247400283812,293.96989463120923,4.1825,
114.32264304161072,276.79158874241665,4.18675,
114.32287383079527,271.1472882360991,4.18375,
114.3230631351471,273.11052319481826,4.1865,
114.3232889175415,266.36190302422114,4.18325,
114.32346701622008,268.3251379829403,4.18275,
114.32365489006042,263.1716462163025,4.18825,
114.3238489627838,256.3003238607855,4.1857500000000005,
114.32404780387878,260.34949596314374,4.184,
114.32430005073547,259.9813894083839,4.1855,
114.32447385787964,264.52137025042197,4.18175,
114.32465291023254,264.52137025042197,4.1842500000000005,
114.3248541355133,274.3375450440177,4.1845,
114.32506704330444,269.06135109246,4.1842500000000005,
114.3252890110016,264.52137025042197,4.1835,
114.32545900344849,274.70565159877754,4.1842500000000005,
114.32565307617188,286.60776353601244,4.18375,
114.3258650302887,279.7364411804954,4.18025,
114.32605600357056,269.55215983213975,4.18625,
114.3263008594513,260.7176025179036,4.18475,
114.32646298408508,262.92624184646263,4.182,
114.32664084434508,259.735985038544,4.18475,
114.32685685157776,273.11052319481826,4.1842500000000005,
114.32705688476562,270.16567075673953,4.181,
114.32728791236876,263.9078593258222,4.1850000000000005,
114.32745099067688,259.3678784837842,4.18775,
114.3279469013214,260.4721981480637,4.18175,
114.328125,259.9813894083839,4.184,
114.328125,258.99977192902435,4.1842500000000005,
114.32830905914308,264.76677462026186,4.184,
114.32847499847412,258.5089631893445,4.1842500000000005,
114.32864499092102,260.4721981480637,4.18225,
114.32885575294496,277.65050403685626,4.18225,
114.32905697822572,267.34352050358075,4.188,
114.32928490638731,265.01217899010175,4.188,
114.32944989204408,262.68083747662274,4.18325,
114.3296558856964,261.57651781234324,4.18525,
114.32986497879028,262.8035396615427,4.181,
114.33006501197816,288.9391050494914,4.1835,
114.33029580116272,299.6141951375268,4.184,
114.33046984672546,287.0985722756922,4.18125,
114.3306438922882,286.3623591661725,4.1805,
114.33086585998537,291.2704465629704,4.18775,
114.331063747406,268.5705423527802,4.1855,
114.33129501342772,266.11649865438125,4.181,
114.33148503303528,268.5705423527802,4.1855,
114.33165907859802,288.6937006796515,4.1850000000000005,
114.33186101913452,279.2456324408156,4.1815,
114.33207297325134,262.067326552023,4.18375,
114.33229088783264,264.1532636956621,4.1850000000000005,
114.33246183395386,260.10409159330385,4.1845,
114.33264899253844,259.1224741139443,4.18225,
114.33285784721376,288.2028919399717,4.1825,
114.33307075500488,299.9823016922866,4.18175,
114.33331108093262,274.8283537836975,4.18275,
114.33346796035768,266.2392008393012,4.1842500000000005,
114.3336660861969,292.8655749669297,4.18075,
114.33386874198914,276.9142909273366,4.18125,
114.3340780735016,276.055375632897,4.184,
114.33429789543152,310.2892852255622,4.1815,
114.33447790145874,283.1721023582539,4.18375,
114.33466076850893,265.87109428454136,4.1842500000000005,
114.33486604690552,272.12890571545864,4.1850000000000005,
114.33506393432616,262.19002873694296,4.184,
114.33530282974245,263.4170505861424,4.1815,
114.33545875549316,281.5769739542946,4.187,
114.33566999435423,277.1596952971765,4.1865,
114.3358678817749,261.20841125758335,4.1857500000000005,
114.3360641002655,259.61328285362407,4.18475,
114.33629179000854,263.1716462163025,4.1835,
114.33646082878111,273.2332253797382,4.18475,
114.33664584159852,260.4721981480637,4.1842500000000005,
114.33685088157654,280.1045477352552,4.184,
114.33705711364746,262.19002873694296,4.1845,
114.33729577064514,258.38626100442457,4.1845,
114.3374729156494,261.20841125758335,4.18675,
114.33764290809631,252.12844957350728,4.18225,
114.3378520011902,241.69876385531177,4.1845,
114.33805894851685,246.4841490671897,4.1825,
114.33828783035278,265.9937964694613,4.1785,
114.33846783638,291.0250421931305,4.182,
114.33865976333618,289.18450941933133,4.18525,
114.33889889717102,297.7736623637276,4.1815,
114.33908891677856,283.78561328285366,4.1845,
114.3393087387085,270.6564794964193,4.18525,
114.33949995040894,258.63166537426446,4.1857500000000005,
114.33966279029846,258.8770697441044,4.18375,
114.33988785743712,262.68083747662274,4.184,
114.34006690979004,260.96300688774346,4.1815,
114.34030604362488,262.68083747662274,4.1865,
114.34064388275146,258.7543675591844,4.187,
114.34081292152403,265.5029877297815,4.183,
114.34094190597534,279.12293025589565,4.186,
114.34108185768127,263.9078593258222,4.18375,
114.34131193161012,263.0489440313826,4.18525,
114.34147095680235,261.57651781234324,4.18375,
114.3416907787323,260.96300688774346,4.18225,
114.34189701080322,260.8403047028235,4.18325,
114.34209489822388,264.6440724353419,4.18375,
114.34230303764345,262.067326552023,4.182,
114.34247875213624,262.067326552023,4.1865,
114.34269380569458,266.11649865438125,4.18375,
114.34290480613708,266.2392008393012,4.1835,
114.34303689002992,263.29434840122246,4.18625,
114.3433117866516,258.7543675591844,4.18275,
114.34348797798155,260.4721981480637,4.1855,
